acpid 2.0.31-1
adobe-source-han-sans-jp-fonts 2.001-1
adwaita-icon-theme 3.32.0-1
aircrack-ng 1.5.2-1
alsa-utils 1.1.8-1
android-tools 9.0.0_r35-1
anki 2.1.11-1
anthy 9100h-5
arch-install-scripts 21-1
arch-wiki-docs 20181022-1
arptables 0.0.4-5
aspell-de 20161207-2
aspell-en 2018.04.16-1
at 3.1.23-3
autoconf 2.69-5
autogen 5.18.12-3
automake 1.16.1-1
avr-gcc 9.1.0-1
avr-libc 2.0.0-3
baobab 3.32.0-1
bash 5.0.007-1
biber 1:2.12-1
bind-tools 9.14.1-1
binutils 2.32-1
blender 17:2.79.b.git5.a29446da-2
bluez-firmware 1.2-9
bluez-utils 5.50-6
bzip2 1.0.6-8
chrome-gnome-shell 10.1-2
chromium 74.0.3729.131-3
cmake 3.14.3-1
code 1.33.1-1
compute-runtime-bin 19.09.12487-1
coreutils 8.31-1
cppcheck 1.86-1
create_ap 0.4.6-2
cryptsetup 2.1.0-1
cups 2.2.11-2
cura 4.0.0-1
dconf-editor 3.32.0-1
dejagnu 1.6.2-1
device-mapper 2.02.184-4
dhcpcd 7.2.1-1
dialog 1:1.3_20190211-1
dictd 1.12.1-6
diffutils 3.7-1
distcc 3.3.2-1
dnsmasq 2.80-3
docker 1:18.09.6-1
dosfstools 4.1-2
e2fsprogs 1.45.0-1
efibootmgr 16-1
eog 3.32.1-1
evince 3.32.0-1
exfat-utils 1.3.0-1
fakeroot 1.23-1
feh 3.1.3-1
file 5.36-1
filesystem 2018.12-2
filezilla 3.42.1-1
findutils 4.6.0-4
firefox 66.0.5-1
flawfinder 2.0.8-2
flex 2.6.4-2
gawk 4.2.1-2
gcc 8.3.0-1
gcc-libs 8.3.0-1
gdb 8.2.1-3
gdm 3.32.0+2+g820f90f5-1
gedit 3.32.0-3
gettext 0.19.8.1-3
gimp 2.10.10-1
git 2.21.0-1
glances 3.1.0-1
glibc 2.29-1
gnome-backgrounds 3.32.0-1
gnome-calculator 3.32.1-1
gnome-control-center 3.32.1-1
gnome-desktop 1:3.32.2-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.32.1-1
gnome-font-viewer 3.32.0-1
gnome-keyring 1:3.31.91-1
gnome-screenshot 3.32.0-1
gnome-session 3.32.0-1
gnome-settings-daemon 3.32.0-2
gnome-shell 1:3.32.1-1
gnome-shell-extensions 3.32.1-1
gnome-system-log 3.9.90+160+g4b07190-1
gnome-system-monitor 3.32.1-1
gnome-themes-extra 3.28-1
gnome-tweaks 3.32.0-1
gnome-user-share 3.32.0.1-1
gnu-netcat 0.7.1-7
gparted 0.33.0-1
gperf 3.1-2
grc 1.11.3-1
grep 3.3-1
grilo-plugins 0.3.8-1
grive 0.5.0-14
groff 1.22.4-1
grub 2:2.02-8
gucharmap 12.0.1-1
gvfs 1.40.1-2
gvfs-afc 1.40.1-2
gvfs-goa 1.40.1-2
gvfs-google 1.40.1-2
gvfs-gphoto2 1.40.1-2
gvfs-mtp 1.40.1-2
gvfs-nfs 1.40.1-2
gvfs-smb 1.40.1-2
gvim 8.1.1186-1
gzip 1.10-1
hashcat 1:5.1.0-1
haveged 1.9.4-3
help2man 1.47.10-1
hostapd 2.8-1
htop 2.2.0-2
ibus-anthy 1.5.10-2
imagemagick 7.0.8.44-1
inetutils 1.9.4-7
inkscape 0.92.4-5
iperf 2.0.13-1
iproute2 5.0.0-1
iputils 20180629.f6aac8d-4
ipython 7.5.0-1
iw 5.0.1-1
jdk10-openjdk 10.0.2.u13-1
jfsutils 1.1.15-6
jupyter 4.1.0-7
keepass 2.42.1-1
less 530-1
libdnet 1.12-10
libfaketime 0.9.7-1
libretro-parallel-n64 5013-1
libtool 2.4.6+42+gb88cebd5-3
libuhd 3.14.0.0-1
licenses 20181104-1
linux 5.0.13.arch1-1
linux-headers 5.0.13.arch1-1
logrotate 3.15.0-1
lsof 4.91-1
luajit 2.0.5-2
